order_id,order_timestamp,pizza_id,pizza_size,quantity
1,2015-01-01 11:38:36,1,M,1
2,2015-01-01 11:57:40,2,M,1
2,2015-01-01 11:57:40,3,L,1
2,2015-01-01 11:57:40,4,L,1
2,2015-01-01 11:57:40,5,M,1
2,2015-01-01 11:57:40,6,L,1
3,2015-01-01 12:12:28,4,M,1
3,2015-01-01 12:12:28,7,L,1
4,2015-01-01 12:16:31,4,M,1
5,2015-01-01 12:21:30,4,M,1
6,2015-01-01 12:29:36,8,S,1
6,2015-01-01 12:29:36,9,S,1
7,2015-01-01 12:50:37,10,S,1
8,2015-01-01 12:51:37,10,S,1
9,2015-01-01 12:52:01,2,S,1
9,2015-01-01 12:52:01,11,S,1
9,2015-01-01 12:52:01,12,L,1
9,2015-01-01 12:52:01,4,L,1
9,2015-01-01 12:52:01,4,S,1
9,2015-01-01 12:52:01,5,S,1
9,2015-01-01 12:52:01,13,L,1
9,2015-01-01 12:52:01,14,L,1
9,2015-01-01 12:52:01,15,S,1
10,2015-01-01 13:00:15,5,L,1
10,2015-01-01 13:00:15,16,L,1
11,2015-01-01 13:02:59,8,L,1
11,2015-01-01 13:02:59,17,L,1
11,2015-01-01 13:02:59,17,M,1
11,2015-01-01 13:02:59,18,L,1
12,2015-01-01 13:04:41,17,L,1
12,2015-01-01 13:04:41,17,S,1
12,2015-01-01 13:04:41,19,L,1
12,2015-01-01 13:04:41,4,M,1
13,2015-01-01 13:11:55,5,L,1
14,2015-01-01 13:14:19,9,S,1
15,2015-01-01 13:33:00,20,S,1
15,2015-01-01 13:33:00,3,L,1
15,2015-01-01 13:33:00,21,L,1
15,2015-01-01 13:33:00,9,S,1
16,2015-01-01 13:34:07,22,L,1
16,2015-01-01 13:34:07,23,S,1
16,2015-01-01 13:34:07,6,L,1
17,2015-01-01 13:53:00,8,L,1
17,2015-01-01 13:53:00,24,M,1
17,2015-01-01 13:53:00,3,L,1
17,2015-01-01 13:53:00,22,M,1
17,2015-01-01 13:53:00,4,M,1
17,2015-01-01 13:53:00,25,S,1
17,2015-01-01 13:53:00,26,M,2
17,2015-01-01 13:53:00,5,L,1
17,2015-01-01 13:53:00,27,S,1
17,2015-01-01 13:53:00,28,L,1
18,2015-01-01 13:57:08,23,L,1
19,2015-01-01 13:59:09,12,L,1
19,2015-01-01 13:59:09,29,L,1
20,2015-01-01 14:03:08,20,S,1
20,2015-01-01 14:03:08,3,L,1
21,2015-01-01 14:14:29,12,L,1
22,2015-01-01 14:16:26,3,L,1
22,2015-01-01 14:16:26,12,M,1
22,2015-01-01 14:16:26,16,L,1
23,2015-01-01 14:19:03,16,S,1
24,2015-01-01 14:23:01,8,M,1
24,2015-01-01 14:23:01,12,M,1
24,2015-01-01 14:23:01,18,M,1
24,2015-01-01 14:23:01,7,S,1
25,2015-01-01 14:44:44,29,M,1
25,2015-01-01 14:44:44,6,L,1
26,2015-01-01 14:54:26,2,S,1
26,2015-01-01 14:54:26,15,L,1
27,2015-01-01 15:11:17,8,L,1
27,2015-01-01 15:11:17,2,M,1
27,2015-01-01 15:11:17,28,L,1
28,2015-01-01 15:35:46,30,S,1
29,2015-01-01 15:41:01,11,S,1
30,2015-01-01 15:41:25,6,L,1
31,2015-01-01 15:50:18,5,M,1
31,2015-01-01 15:50:18,18,S,1
32,2015-01-01 15:53:18,20,S,1
32,2015-01-01 15:53:18,11,L,1
32,2015-01-01 15:53:18,12,L,1
32,2015-01-01 15:53:18,4,M,1
33,2015-01-01 15:54:08,8,L,1
33,2015-01-01 15:54:08,11,S,1
34,2015-01-01 16:21:21,9,S,1
35,2015-01-01 16:32:04,11,M,1
35,2015-01-01 16:32:04,31,L,1
35,2015-01-01 16:32:04,18,M,1
35,2015-01-01 16:32:04,6,L,1
36,2015-01-01 16:54:09,8,M,1
36,2015-01-01 16:54:09,2,M,1
37,2015-01-01 16:56:09,4,L,1
37,2015-01-01 16:56:09,5,L,1
38,2015-01-01 17:03:00,1,S,1
38,2015-01-01 17:03:00,12,L,1
39,2015-01-01 17:07:23,4,L,1
40,2015-01-01 17:14:36,22,L,1
40,2015-01-01 17:14:36,16,S,1
41,2015-01-01 17:15:20,22,M,1
41,2015-01-01 17:15:20,11,S,1
42,2015-01-01 17:28:09,20,S,1
42,2015-01-01 17:28:09,3,L,1
42,2015-01-01 17:28:09,5,L,1
42,2015-01-01 17:28:09,27,M,1
43,2015-01-01 17:38:34,30,M,1
43,2015-01-01 17:38:34,4,M,1
43,2015-01-01 17:38:34,27,L,1
44,2015-01-01 17:54:20,14,S,1
45,2015-01-01 17:55:48,22,L,1
45,2015-01-01 17:55:48,1,S,1
45,2015-01-01 17:55:48,6,M,1
46,2015-01-01 18:25:51,19,L,1
46,2015-01-01 18:25:51,2,L,1
46,2015-01-01 18:25:51,6,M,1
47,2015-01-01 18:26:34,16,L,1
47,2015-01-01 18:26:34,15,S,1
48,2015-01-01 18:26:42,19,M,1
48,2015-01-01 18:26:42,11,S,1
48,2015-01-01 18:26:42,7,L,1
48,2015-01-01 18:26:42,13,L,1
49,2015-01-01 18:33:00,29,L,1
50,2015-01-01 18:41:01,9,XL,1
51,2015-01-01 18:48:28,8,L,1
51,2015-01-01 18:48:28,31,L,1
52,2015-01-01 18:53:02,1,L,1
52,2015-01-01 18:53:02,5,L,1
52,2015-01-01 18:53:02,13,L,1
53,2015-01-01 18:54:17,31,S,1
53,2015-01-01 18:54:17,10,M,1
54,2015-01-01 19:01:45,7,M,1
54,2015-01-01 19:01:45,6,L,1
55,2015-01-01 19:03:19,27,S,1
55,2015-01-01 19:03:19,13,L,1
56,2015-01-01 19:07:00,2,M,1
56,2015-01-01 19:07:00,26,L,1
56,2015-01-01 19:07:00,16,M,1
57,2015-01-01 19:10:51,2,M,1
58,2015-01-01 19:30:40,3,L,1
58,2015-01-01 19:30:40,18,M,1
59,2015-01-01 19:40:08,25,S,1
59,2015-01-01 19:40:08,31,S,1
59,2015-01-01 19:40:08,18,L,1
60,2015-01-01 20:05:16,19,L,1
60,2015-01-01 20:05:16,22,M,1
61,2015-01-01 20:08:43,8,M,1
61,2015-01-01 20:08:43,4,L,1
62,2015-01-01 20:50:16,8,M,1
62,2015-01-01 20:50:16,10,M,1
63,2015-01-01 20:51:42,31,M,1
64,2015-01-01 20:52:08,20,S,1
65,2015-01-01 21:16:00,31,S,1
65,2015-01-01 21:16:00,29,S,1
65,2015-01-01 21:16:00,13,S,1
65,2015-01-01 21:16:00,10,M,1
66,2015-01-01 21:47:55,2,M,1
66,2015-01-01 21:47:55,12,M,1
67,2015-01-01 22:03:40,16,L,1
68,2015-01-01 22:07:32,2,M,1
68,2015-01-01 22:07:32,4,L,1
68,2015-01-01 22:07:32,4,M,1
69,2015-01-01 22:12:13,8,L,1
70,2015-01-02 11:38:51,25,S,1
70,2015-01-02 11:38:51,21,L,1
71,2015-01-02 11:40:50,6,L,1
72,2015-01-02 11:57:25,28,L,1
73,2015-01-02 11:58:56,6,S,1
74,2015-01-02 12:01:12,3,L,1
74,2015-01-02 12:01:12,5,L,1
74,2015-01-02 12:01:12,14,S,1
74,2015-01-02 12:01:12,10,L,1
75,2015-01-02 12:10:15,4,S,1
75,2015-01-02 12:10:15,26,L,1
75,2015-01-02 12:10:15,23,L,1
